"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","HHIPDLIB","HHIP_LIB","HHISTATB","HHIS_ATB","HHICOVQ","HHICOVQ_","HHIGROUP","HHIG_OUP","HHIPRDED","HHIP_DED","HHIR_MPD","QHI3MCX","QHI3MCX_","HHIBCBS","HHIBCBS_","HHICODE","HHICODE_","HHIPOS","HHIPOS_","HHISPECT","HHIS_ECT","HHIPROUT","HHIP_OUT","HHIPRYOU","HHIP_YOU","HHIRPMPD","HHISUBPD","HHIS_BPD","PORTAL","PORTAL_","PORTPLAN","PORT_LAN","PREMSUBS","PREM_UBS"
"20153","02993144",8,0,"5","01","D",,"A",1,"D","2","D","1","D","D",813,"D","1","D","2","D",,"A",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02993204",3,0,"5","01","D",,"A",4,"D","2","D","1","D","D",.,"A","1","D","1","D","1","D",,"A",,"A","1","D","01",,"A",,"A",,"A",,"A"
"20153","02993324",16,0,"5","01","D",,"A",3,"D","2","D","1","D","D",1463,"D","1","D","1","D","2","D",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02993324",17,0,"5","02","D",,"A",3,"D","2","D","1","D","D",124,"D","2","D","1","D","2","D",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02993354",14,0,"5","01","D",,"A",1,"D","2","D",,"A","A",.,"A","2","D","2","D",,"A",,"A","1","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02993434",14,0,"5","01","D",,"A",2,"D","1","D","2","D","D",870,"D","1","D","4","D",,"A","4","D",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02993434",16,0,"5","03","D",,"A",2,"D","1","D","2","D","D",156,"D","1","D","4","D",,"A","1","D",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02993474",18,0,"5","01","D",,"A",5,"D","2","D",,"A","A",.,"A","1","D","2","D",,"A",,"A","1","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02993534",11,0,"5","01","D",,"A",1,"D","1","D","2","D","D",726,"D","1","D","3","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02993534",12,0,"5","02","D",,"A",1,"D","1","D","2","D","D",726,"D","1","D","3","D",,"A",,"A",,"A","1","D","04",,"A","2","D",,"A",,"A"
"20153","02993574",3,0,"1","01","D",,"A",2,"D","2","D","1","D","D",1300,"D","2","D","1","D","1","D",,"A",,"A","1","D","01",,"A",,"A",,"A",,"A"
"20153","02993614",3,0,"5","01","D",,"A",1,"D","2","D","1","D","D",650,"F","1","D","1","D","2","D",,"A",,"A","1","D","01",,"A",,"A",,"A",,"A"
"20153","02993754",4,0,"5","01","D",,"A",2,"D","2","D","1","D","D",90,"D","1","D","1","D","2","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02993814",24,0,"5","01","D",,"A",5,"D","2","D",,"A","A",.,"A","2","D","1","D","2","D",,"A","1","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02993834",19,0,"5","01","D",,"A",4,"D","2","D","1","D","D",1221,"D","1","D","1","D","1","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02993894",5,0,"5","01","D",,"A",2,"D","2","D","1","D","C",780,"F","1","D","1","D","1","D",,"A",,"A","1","D",,,"A",,"A",,"A",,"A"
"20153","02993944",6,0,"5","01","D",,"A",2,"D","3","D",,"A","A",.,"A","2","D","1","D","1","D",,"A","2","D","2","D",,,"A","2","D",,"A",,"A"
"20153","02993964",10,0,"5","01","D",,"A",3,"D","2","D",,"A","A",.,"A","1","D","2","D",,"A",,"A","1","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02993984",6,0,"5","01","D",,"A",6,"D","2","D",,"A","A",.,"A","1","D","1","D","2","D",,"A","1","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02994004",8,0,"5","01","D",,"A",2,"D","2","D","1","D","D",750,"D","2","D","2","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02994054",9,0,"5","01","D",,"A",1,"D","2","D","2","D","D",543,"D","2","D","1","D","1","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02994094",6,0,"5","01","D",,"A",2,"D","1","D",,"A","A",.,"A","2","D","1","D","1","D",,"A","2","D","2","D",,,"A","2","D",,"A",,"A"
"20153","02994204",8,0,"5","01","D",,"A",2,"D","2","D","1","D","D",910,"D","2","D","2","D",,"A",,"A",,"A","1","D","01",,"A",,"A",,"A",,"A"
"20153","02994294",4,0,"5","01","D",,"A",1,"D","2","D","1","D","D",650,"D","2","D","1","D","1","D",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02994304",5,0,"5","01","D",,"A",1,"D","2","D","1","D","D",.,"A","2","D","2","D",,"A",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02994304",6,0,"5","02","D",,"A",4,"D","1","D",,"A","A",.,"A","2","D","3","D",,"A",,"A","2","D","2","D",,,"A","2","D",,"A",,"A"
"20153","02994324",11,0,"5","02","D",,"A",4,"D","2","D","1","D","D",4680,"D","2","D","1","D","1","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02994444",11,0,"5","01","D",,"A",3,"D","2","D","1","D","D",660,"D","2","D","2","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02994464",4,0,"5","01","D",,"A",1,"D","1","D","2","D","D",897,"D","2","D","1","D","1","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02994475",5,0,"5","01","D",,"A",3,"D","2","D","1","D","D",120,"D","2","D","1","D","2","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02994534",7,0,"5","01","D",,"A",1,"D","1","D","2","D","D",420,"D","2","D","1","D","2","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02994534",8,0,"5","02","D",,"A",1,"D","1","D",,"A","A",.,"A","2","D","4","D",,"A","4","D","2","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02994534",9,0,"5","03","D",,"A",1,"D","3","D",,"A","A",.,"A","2","D","2","D",,"A",,"A","2","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02994554",14,0,"5","01","D",,"A",1,"D","1","D","2","D","D",1476,"D","2","D","2","D",,"A",,"A",,"A","1","D","04",,"A","1","D","2","D","2","D"
"20153","02994554",15,0,"5","02","D",,"A",1,"D","1","D","2","D","D",.,"A","2","D","2","D",,"A",,"A",,"A","1","D","04",,"A","1","D","2","D","2","D"
